type,engine,experiment,count
MaxCountConstraintComponent,jena,ES_tds,8963
MaxCountConstraintComponent,jena,FR_core,499083
MaxCountConstraintComponent,jena,FR_era,499083
MaxCountConstraintComponent,jena,FR_tds,499083
MaxCountConstraintComponent,maplib,ES_core,8963
MaxCountConstraintComponent,maplib,ES_era,8963
MaxCountConstraintComponent,maplib,ES_tds,8963
MaxCountConstraintComponent,maplib,FR_core,499083
MaxCountConstraintComponent,maplib,FR_tds,499083
MaxCountConstraintComponent,pyshacl,ES_core,8963
MaxCountConstraintComponent,pyshacl,ES_era,8963
MaxCountConstraintComponent,pyshacl,ES_tds,8963
MaxCountConstraintComponent,pyshacl,FR_core,499083
MaxCountConstraintComponent,pyshacl,FR_tds,499083
MaxCountConstraintComponent,rdf4j,ES_core,4829
MaxCountConstraintComponent,rdf4j,ES_era,0
MaxCountConstraintComponent,rdf4j,ES_tds,0
MaxCountConstraintComponent,rdf4j,FR_core,20000
MaxCountConstraintComponent,rdf4j,FR_era,0
MaxCountConstraintComponent,rdf4j,FR_tds,0
MaxCountConstraintComponent,rdfunit,ES_core,8963
MaxCountConstraintComponent,rdfunit,ES_era,8963
MaxCountConstraintComponent,rdfunit,ES_tds,8963
MaxCountConstraintComponent,rdfunit,FR_core,499083
MaxCountConstraintComponent,rdfunit,FR_era,499083
MaxCountConstraintComponent,rdfunit,FR_tds,499083
MaxCountConstraintComponent,topbraid,ES_core,8963
MaxCountConstraintComponent,topbraid,ES_era,8963
MaxCountConstraintComponent,topbraid,ES_tds,8963
MaxCountConstraintComponent,topbraid,FR_core,499083
MaxCountConstraintComponent,topbraid,FR_era,499083
MaxCountConstraintComponent,topbraid,FR_tds,499083
MaxCountConstraintComponent,dotnet_rdf,ERA_tds,1008557
MaxCountConstraintComponent,jena,ERA_core,1008620
MaxCountConstraintComponent,jena,ERA_era,1008620
MaxCountConstraintComponent,jena,ERA_tds,1008557
MaxCountConstraintComponent,maplib,ERA_core,1008620
MaxCountConstraintComponent,maplib,ERA_era,1008620
MaxCountConstraintComponent,maplib,ERA_tds,1008557
MaxCountConstraintComponent,maplib,FR_era,499083
MaxCountConstraintComponent,rdf4j,ERA_core,22412
MaxCountConstraintComponent,rdf4j,ERA_era,0
MaxCountConstraintComponent,rdf4j,ERA_tds,0
MaxCountConstraintComponent,rdfunit,ERA_core,1008620
MaxCountConstraintComponent,rdfunit,ERA_era,1008620
MaxCountConstraintComponent,rdfunit,ERA_tds,1008557
MaxCountConstraintComponent,topbraid,ERA_core,1008620
MaxCountConstraintComponent,topbraid,ERA_era,1008620
MaxCountConstraintComponent,topbraid,ERA_tds,1008557
DatatypeConstraintComponent,corese,ES_core,8
DatatypeConstraintComponent,corese,ES_era,8
DatatypeConstraintComponent,corese,ES_tds,0
DatatypeConstraintComponent,corese,FR_core,28
DatatypeConstraintComponent,corese,FR_tds,0
